restaurant_url,weekday,hour_24,hour_label,index,value,busyness_percent
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,6,6 AM,0,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,7,7 AM,1,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,8,8 AM,2,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,9,9 AM,3,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,10,10 AM,4,38% busy at 10 AM.,38
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,11,11 AM,5,52% busy at 11 AM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,12,12 PM,6,52% busy at 12 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,13,1 PM,7,47% busy at 1 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,14,2 PM,8,47% busy at 2 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,15,3 PM,9,33% busy at 3 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,16,4 PM,10,14% busy at 4 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,17,5 PM,11,4% busy at 5 PM.,4
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,18,6 PM,12,9% busy at 6 PM.,9
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,19,7 PM,13,23% busy at 7 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,20,8 PM,14,33% busy at 8 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,21,9 PM,15,33% busy at 9 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,22,10 PM,16,38% busy at 10 PM.,38
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,23,11 PM,17,47% busy at 11 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,0,12 AM,18,57% busy at 12 AM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Sunday,6,6 AM,19,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,7,7 AM,20,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,8,8 AM,21,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,9,9 AM,22,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,10,10 AM,23,19% busy at 10 AM.,19
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,11,11 AM,24,33% busy at 11 AM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,12,12 PM,25,28% busy at 12 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,13,1 PM,26,19% busy at 1 PM.,19
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,14,2 PM,27,23% busy at 2 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,15,3 PM,28,23% busy at 3 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,16,4 PM,29,14% busy at 4 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,17,5 PM,30,14% busy at 5 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,18,6 PM,31,23% busy at 6 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Monday,19,7 PM,32,19% busy at 7 PM.,19
